,102,............Microstrip antenna arrays,Microstrip antenna arrays,3,Antennas and propagation ,Antennas,Antenna arrays,Microstrip antenna arrays,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (102, 'Microstrip antenna arrays'); "
,103,............Microwave antenna arrays,Microwave antenna arrays,3,Antennas and propagation ,Antennas,Antenna arrays,Microwave antenna arrays,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (103, 'Microwave antenna arrays'); "
,104,............Phased arrays,Phased arrays,3,Antennas and propagation ,Antennas,Antenna arrays,Phased arrays,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (104, 'Phased arrays'); "
,105,............Planar arrays,Planar arrays,3,Antennas and propagation ,Antennas,Antenna arrays,Planar arrays,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (105, 'Planar arrays'); "
,106,........Antenna radiation patterns,Antenna radiation patterns,2,Antennas and propagation ,Antennas,Antenna radiation patterns,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (106, 'Antenna radiation patterns'); "
,107,............Near-field radiation pattern,Near-field radiation pattern,3,Antennas and propagation ,Antennas,Antenna radiation patterns,Near-field radiation pattern,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (107, 'Near-field radiation pattern'); "
,108,........Antenna theory,Antenna theory,2,Antennas and propagation ,Antennas,Antenna theory,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (108, 'Antenna theory'); "
,109,............Frequency selective surfaces,Frequency selective surfaces,3,Antennas and propagation ,Antennas,Antenna theory,Frequency selective surfaces,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (109, 'Frequency selective surfaces'); "
,110,........Apertures,Apertures,2,Antennas and propagation ,Antennas,Apertures,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (110, 'Apertures'); "
,111,............Aperture antennas,Aperture antennas,3,Antennas and propagation ,Antennas,Apertures,Aperture antennas,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (111, 'Aperture antennas'); "
,112,............Aperture coupled antennas,Aperture coupled antennas,3,Antennas and propagation ,Antennas,Apertures,Aperture coupled antennas,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (112, 'Aperture coupled antennas'); "
,113,........Broadband antennas,Broadband antennas,2,Antennas and propagation ,Antennas,Broadband antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (113, 'Broadband antennas'); "
,114,............Ultra wideband antennas,Ultra wideband antennas,3,Antennas and propagation ,Antennas,Broadband antennas,Ultra wideband antennas,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (114, 'Ultra wideband antennas'); "
,115,............Vivaldi antennas,Vivaldi antennas,3,Antennas and propagation ,Antennas,Broadband antennas,Vivaldi antennas,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (115, 'Vivaldi antennas'); "
,116,........Dielectric resonator antennas,Dielectric resonator antennas,2,Antennas and propagation ,Antennas,Dielectric resonator antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (116, 'Dielectric resonator antennas'); "
,117,........Dipole antennas,Dipole antennas,2,Antennas and propagation ,Antennas,Dipole antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (117, 'Dipole antennas'); "
,118,........Directional antennas,Directional antennas,2,Antennas and propagation ,Antennas,Directional antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (118, 'Directional antennas'); "
,119,........Directive antennas,Directive antennas,2,Antennas and propagation ,Antennas,Directive antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (119, 'Directive antennas'); "
,120,........Feeds,Feeds,2,Antennas and propagation ,Antennas,Feeds,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (120, 'Feeds'); "
,121,............Antenna feeds,Antenna feeds,3,Antennas and propagation ,Antennas,Feeds,Antenna feeds,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (121, 'Antenna feeds'); "
,122,........Fractal antennas,Fractal antennas,2,Antennas and propagation ,Antennas,Fractal antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (122, 'Fractal antennas'); "
,123,........Helical antennas,Helical antennas,2,Antennas and propagation ,Antennas,Helical antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (123, 'Helical antennas'); "
,124,........Horn antennas,Horn antennas,2,Antennas and propagation ,Antennas,Horn antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (124, 'Horn antennas'); "
,125,........Leaky wave antennas,Leaky wave antennas,2,Antennas and propagation ,Antennas,Leaky wave antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (125, 'Leaky wave antennas'); "
,126,........Loaded antennas,Loaded antennas,2,Antennas and propagation ,Antennas,Loaded antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (126, 'Loaded antennas'); "
,127,........Log-periodic dipole antennas,Log-periodic dipole antennas,2,Antennas and propagation ,Antennas,Log-periodic dipole antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (127, 'Log-periodic dipole antennas'); "
,128,........Microstrip antennas,Microstrip antennas,2,Antennas and propagation ,Antennas,Microstrip antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (128, 'Microstrip antennas'); "
,129,........Microwave antennas,Microwave antennas,2,Antennas and propagation ,Antennas,Microwave antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (129, 'Microwave antennas'); "
,130,........Mobile antennas,Mobile antennas,2,Antennas and propagation ,Antennas,Mobile antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (130, 'Mobile antennas'); "
,131,........Multifrequency antennas,Multifrequency antennas,2,Antennas and propagation ,Antennas,Multifrequency antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (131, 'Multifrequency antennas'); "
,132,........Omnidirectional antennas,Omnidirectional antennas,2,Antennas and propagation ,Antennas,Omnidirectional antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (132, 'Omnidirectional antennas'); "
,133,........Patch antennas ,Patch antennas ,2,Antennas and propagation ,Antennas,Patch antennas ,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (133, 'Patch antennas '); "
,135,........Radar antennas,Radar antennas,2,Antennas and propagation ,Antennas,Radar antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (135, 'Radar antennas'); "
,136,........Receiving antennas,Receiving antennas,2,Antennas and propagation ,Antennas,Receiving antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (136, 'Receiving antennas'); "
,137,........Rectennas,Rectennas,2,Antennas and propagation ,Antennas,Rectennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (137, 'Rectennas'); "
,138,........Reflector antennas,Reflector antennas,2,Antennas and propagation ,Antennas,Reflector antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (138, 'Reflector antennas'); "
,139,........Satellite antennas,Satellite antennas,2,Antennas and propagation ,Antennas,Satellite antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (139, 'Satellite antennas'); "
,140,........Slot antennas,Slot antennas,2,Antennas and propagation ,Antennas,Slot antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (140, 'Slot antennas'); "
,141,........Transmission line antennas,Transmission line antennas,2,Antennas and propagation ,Antennas,Transmission line antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (141, 'Transmission line antennas'); "
,142,........Transmitting antennas,Transmitting antennas,2,Antennas and propagation ,Antennas,Transmitting antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (142, 'Transmitting antennas'); "
,143,........UHF antennas,UHF antennas,2,Antennas and propagation ,Antennas,UHF antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (143, 'UHF antennas'); "
,144,........Yagi-Uda antennas,Yagi-Uda antennas,2,Antennas and propagation ,Antennas,Yagi-Uda antennas,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (144, 'Yagi-Uda antennas'); "
