,id_materia,codigo,metodo,cluster,asignatura,titulacion
554,70036,CURSO_UTPL-TN0170_18,AFFINITY-PROPAGATION,61,CONSTRUCCIÓN DE INDICADORES,ECONOMÍA
555,70045,CURSO_UTPL-TNEC0224_18,AFFINITY-PROPAGATION,228,ECONOMÍA POLÍTICA,ECONOMÍA
556,70054,CURSO_UTPL-TNICA019_18,AFFINITY-PROPAGATION,15,AUDITORÍA III,CONTABILIDAD Y AUDITORÍA
557,70063,CURSO_PRE-TNICA072_18,AFFINITY-PROPAGATION,147,GESTIÓN PRODUCTIVA GP 3.1,CONTABILIDAD Y AUDITORÍA
558,70521,CURSO_PRE-TNICA074_18,AFFINITY-PROPAGATION,146,GESTIÓN PRODUCTIVA GP 3.2,CONTABILIDAD Y AUDITORÍA
559,70841,CURSO_UTPL-TNICA017_18,AFFINITY-PROPAGATION,148,COMPUTACIÓN APLICADA,CONTABILIDAD Y AUDITORÍA
560,70850,CURSO_UTPL-TN-ABF005_18,AFFINITY-PROPAGATION,149,CONTABILIDAD BANCARIA,CONTABILIDAD Y AUDITORÍA
561,71432,CURSO_PRE-TNICA066_18,AFFINITY-PROPAGATION,82,CONTABILIDAD GENERAL I,CONTABILIDAD Y AUDITORÍA
562,71441,CURSO_UTPL-TNAE003_18,AFFINITY-PROPAGATION,75,INTRODUCCIÓN A LA ECONOMÍA,CONTABILIDAD Y AUDITORÍA
563,72010,CURSO_PRE-TNICA077_18,AFFINITY-PROPAGATION,74,PROYECTO DE  FIN DE CARRERA II GP 4.2,CONTABILIDAD Y AUDITORÍA
564,72258,CURSO_PRE-TNICA206_18,AFFINITY-PROPAGATION,288,NORMAS INTERNACIONALES DE INFORMACION FINANCIERA,CONTABILIDAD Y AUDITORÍA
565,72730,CURSO_UTPL-TNICA007_18,AFFINITY-PROPAGATION,49,CONTABILIDAD DE COSTOS I,CONTABILIDAD Y AUDITORÍA
566,72739,CURSO_UTPL-TNICA016_18,AFFINITY-PROPAGATION,15,AUDITORÍA I,CONTABILIDAD Y AUDITORÍA
567,72748,CURSO_UTPL-TNICA005_18,AFFINITY-PROPAGATION,83,CÁLCULO,CONTABILIDAD Y AUDITORÍA
568,72757,CURSO_UTPL-TNEC004_18,AFFINITY-PROPAGATION,150,ESTADÍSTICA I,CONTABILIDAD Y AUDITORÍA
569,73420,CURSO_UTPL-TNAE007_18,AFFINITY-PROPAGATION,151,MACROECONOMÍA,CONTABILIDAD Y AUDITORÍA
570,73852,CURSO_UTPL-TNAE009_18,AFFINITY-PROPAGATION,152,ADMINISTRACIÓN DE RECURSOS HUMANOS,CONTABILIDAD Y AUDITORÍA
571,73861,CURSO_PRE-TNICA076_18,AFFINITY-PROPAGATION,48,PROYECTO DE FIN DE CARRERA I GP 4.1,CONTABILIDAD Y AUDITORÍA
572,74094,CURSO_UTPL-TNICA012_18,AFFINITY-PROPAGATION,82,CONTABILIDAD SUPERIOR,CONTABILIDAD Y AUDITORÍA
573,74103,CURSO_PRE-TNICA068_18,AFFINITY-PROPAGATION,153,GESTIÓN PRODUCTIVA GP 1,CONTABILIDAD Y AUDITORÍA
574,74112,CURSO_UTPL-TNICA011_18,AFFINITY-PROPAGATION,210,ORGANIZACIÓN CONTABLE,CONTABILIDAD Y AUDITORÍA
