,id_materia,codigo,metodo,cluster,asignatura,titulacion
215,26434,CURSO_PRE-TNARQ102_18,HIERARCHY,13,GESTIÓN PRODUCTIVA GP 4.1,ARQUITECTURA
216,26842,CURSO_PRE-TNARQ235_18,HIERARCHY,175,DISEÑO PARAMÉTRICO Y FABRICACIÓN DIGITAL,ARQUITECTURA
217,27286,CURSO_UTPL-TN0169_18,HIERARCHY,419,DESARROLLO EMPRESARIAL,ADMINISTRACIÓN DE EMPRESAS
218,27295,CURSO_PRE-TNARQ074_18,HIERARCHY,535,DISEÑO BÁSICO I,ARQUITECTURA
219,27304,CURSO_PRE-TNARQ086_18,HIERARCHY,248,TOPOGRAFÍA,ARQUITECTURA
220,27313,CURSO_PRE-TNARQ068_18,HIERARCHY,157,INTRODUCCIÓN A LA ARQUITECTURA,ARQUITECTURA
221,27322,CURSO_UTPL-TN0156_18,HIERARCHY,227,VALIDACIÓN DE PRODUCTO,ADMINISTRACIÓN DE EMPRESAS
222,27608,CURSO_PRE-TNARQ077_18,HIERARCHY,11,GESTIÓN PRODUCTIVA GP 1,ARQUITECTURA
223,27878,CURSO_PRE-TNARQ093_18,HIERARCHY,590,PROYECTOS III,ARQUITECTURA
224,27887,CURSO_PRE-TNARQ076_18,HIERARCHY,238,RESISTENCIA DE MATERIALES,ARQUITECTURA
225,27896,CURSO_PRE-TNCCO210_18,HIERARCHY,358,METODOLOGIAS AGILES,SISTEMAS INFORMÁTICOS Y COMPUTACIÓN
226,28298,CURSO_UTPL-TN0131_18,HIERARCHY,245,SOSTENIBILIDAD EN ARQUITECTURA ,ARQUITECTURA
227,28307,CURSO_PRE-TNETE074_18,HIERARCHY,417,SEGURIDAD INDUSTRIAL E IMPACTO AMBIENTAL DE LAS ACTIVIDADES DE LA IET,ELECTRÓNICA Y TELECOMUNICACIONES
228,28722,CURSO_UTPL-TN0105_18,HIERARCHY,304,FOTOGRAFÍA ARTÍSTICA,ARTES PLÁSTICAS Y DISEÑO
229,28731,CURSO_PRE-TNARQ104_18,HIERARCHY,612,URBANISMO II,ARQUITECTURA
230,28740,CURSO_PRE-TNARQ085_18,HIERARCHY,582,PROYECTOS I,ARQUITECTURA
231,28749,CURSO_PRE-TNARQ094_18,HIERARCHY,245,CRÍTICA DE LA ARQUITECTURA,ARQUITECTURA
232,28758,CURSO_PRE-TNARQ087_18,HIERARCHY,621,ESTRUCTURAS II,ARQUITECTURA
233,28767,CURSO_PRE-TNARQ088_18,HIERARCHY,9,GESTIÓN PRODUCTIVA GP 2.2,ARQUITECTURA
234,28981,CURSO_PRE-TNARQ103_18,HIERARCHY,587,PROYECTOS V,ARQUITECTURA
235,28990,CURSO_PRE-TNARQ062_18,HIERARCHY,26,PROYECTO DE FIN DE CARRERA 4.1,ARQUITECTURA
236,28999,CURSO_PRE-TNARQ065_18,HIERARCHY,33,PROYECTO DE FIN DE CARRERA 4.2,ARQUITECTURA
237,29008,CURSO_PRE-TNIQ116_18,HIERARCHY,286,ALGEBRA LINEAL Y MÉTODOS NUMÉRICOS,INGENIERO EN ALIMENTOS
238,29583,CURSO_PRE-TNIIA072_18,HIERARCHY,5,GESTIÓN PRODUCTIVA 2.1,INGENIERO EN ALIMENTOS
239,29592,CURSO_PRE-TNIIA074_18,HIERARCHY,178,DISEÑO EXPERIMENTAL,INGENIERO EN ALIMENTOS
240,29601,CURSO_PRE-TNIIA067_18,HIERARCHY,100,QUÍMICA ORGÁNICA,INGENIERO EN ALIMENTOS
241,29610,CURSO_PRE-TNIQ012_18,HIERARCHY,110,QUÍMICA FÍSICA,INGENIERO EN ALIMENTOS
242,29619,CURSO_PRE-TNIIA080_18,HIERARCHY,3,GESTIÓN PRODUCTIVA 3.1,INGENIERO EN ALIMENTOS
243,29628,CURSO_PRE-TNIIA088_18,HIERARCHY,341,DISEÑO Y CONTROL DE PROCESOS AGROINDUSTRIAS,INGENIERO EN ALIMENTOS
244,29637,CURSO_PRE-TNIQ003_18,HIERARCHY,592,CÁLCULO I,INGENIERÍA QUÍMICA
245,29646,CURSO_PRE-TNIQ010_18,HIERARCHY,284,ECUACIONES DIFERENCIALES,INGENIERÍA QUÍMICA
246,29655,CURSO_PRE-TNIQ008_18,HIERARCHY,360,BALANCE DE MATERIA Y ENERGÍA,INGENIERO EN ALIMENTOS
247,29664,CURSO_PRE-TNIIA073_18,HIERARCHY,73,GESTIÓN DE LA CALIDAD,INGENIERO EN ALIMENTOS
248,29673,CURSO_PRE-TNIIA081_18,HIERARCHY,282,TRANSFERENCIA DE CALOR,INGENIERO EN ALIMENTOS
249,29682,CURSO_PRE-TNIIA075_18,HIERARCHY,336,NUTRICIÓN Y SALUD ALIMENTARIA,INGENIERO EN ALIMENTOS
250,29691,CURSO_PRE-TNIIA089_18,HIERARCHY,75,GESTIÓN EMPRESARIAL,INGENIERO EN ALIMENTOS
251,29700,CURSO_PRE-TNIIA083_18,HIERARCHY,224,CIENCIA Y TECNOLOGÍA DE PRODUCTOS PECUARIOS,INGENIERO EN ALIMENTOS
252,29709,CURSO_PRE-TNIIA082_18,HIERARCHY,327,OPERACIONES BÁSICAS CON SOLIDOS,INGENIERO EN ALIMENTOS
