,id_materia,codigo,metodo,cluster,asignatura,titulacion
1085,240845,CURSO_PRE-TNICI071_20,HIERARCHY,9,PRODUCTIVE MANAGEMENT 1,INGENIERÍA CIVIL
1086,241058,CURSO_PRE-TNICI094_20,HIERARCHY,26,END OF CAREER PROJECT 4.2,INGENIERÍA CIVIL
1087,241291,CURSO_PRE-TNICI033_20,HIERARCHY,241,SOILS AND ROCKS I,INGENIERÍA CIVIL
1088,241802,CURSO_PRE-TNICI047_20,HIERARCHY,117,HYDRAULICS III,INGENIERÍA CIVIL
1089,242075,CURSO_PRE-TNICI027_20,HIERARCHY,207,FLUID MECHANICS,INGENIERÍA CIVIL
1090,242443,CURSO_PRE-TNICI034_20,HIERARCHY,259,INSPECTION OF CONCRETE WORKS,INGENIERÍA CIVIL
1091,242788,CURSO_PRE-TNICI035_20,HIERARCHY,309,HYDROLOGY II,INGENIERÍA CIVIL
1092,243098,CURSO_PRE-TNICI041_20,HIERARCHY,203,MATERIAL RESISTANCE,INGENIERÍA CIVIL
1093,243488,CURSO_PRE-TNICI064_20,HIERARCHY,200,ELEMENTAL TOPOGRAPHY,INGENIERÍA CIVIL
1094,243977,CURSO_PRE-TNICI076_20,HIERARCHY,5,PRODUCTIVE MANAGEMENT 2.1,INGENIERÍA CIVIL
1095,244228,CURSO_PRE-TNICI082_20,HIERARCHY,160,HEALTH I,INGENIERÍA CIVIL
1096,245107,CURSO_PRE-TNICI066_20,HIERARCHY,289,ADVANCED CALCULUS,INGENIERÍA CIVIL
1097,245475,CURSO_PRE-TNICI083_20,HIERARCHY,208,STRUCTURES,INGENIERÍA CIVIL
1098,245957,CURSO_PRE-TNICI088_20,HIERARCHY,1,PRODUCTIVE MANAGEMENT 3.2,INGENIERÍA CIVIL
1099,246281,CURSO_PRE-TNICI092_20,HIERARCHY,24,END OF CAREER PROJECT 4.1,INGENIERÍA CIVIL
1100,246556,CURSO_PRE-TNIQ006_20,HIERARCHY,84,PHYSICS,INGENIERÍA QUÍMICA
1101,247126,CURSO_PRE-TNIQ088_20,HIERARCHY,207,FLUID MECHANICS,INGENIERÍA QUÍMICA
1102,247524,CURSO_PRE-TNIQ107_20,HIERARCHY,297,INDUSTRIAL MICROBIOLOGY AND BIOTECHNOLOGY,INGENIERÍA QUÍMICA
1103,247757,CURSO_PRE-TNIQ115_20,HIERARCHY,290,INDUSTRIAL PROJECTS II,INGENIERÍA QUÍMICA
1104,248140,CURSO_PRE-TNIQ087_20,HIERARCHY,18,PRODUCTIVE MANAGEMENT GP 1.2,INGENIERÍA QUÍMICA
1105,248380,CURSO_PRE-TNIQ059_20,HIERARCHY,217,CERAMIC AND CEMENT TECHNOLOGY,INGENIERÍA QUÍMICA
1106,248849,CURSO_PRE-TNIQ096_20,HIERARCHY,204,MASS TRANSFER,INGENIERÍA QUÍMICA
